Id,ActivityHour,totalSteps,Calories,TotalIntensity,AverageIntensity
8053475328,2016-03-20 19:00:00,5269,457,130,2.166667
8877689391,2016-03-30 18:00:00,631,455,136,2.266667
1927972279,2016-03-18 14:00:00,4581,454,138,2.3
2022484408,2016-03-30 09:00:00,4731,454,149,2.483333
6117666160,2016-03-18 18:00:00,5492,453,149,2.483333
6290855005,2016-04-02 12:00:00,6456,452,143,2.383333
8877689391,2016-03-27 17:00:00,4058,451,91,1.516667
1927972279,2016-03-15 12:00:00,4457,448,132,2.2
5577150313,2016-04-09 07:00:00,1526,448,132,2.2
4020332650,2016-03-28 17:00:00,57,442,126,2.1
6775888955,2016-03-26 07:00:00,2415,442,144,2.4
7007744171,2016-03-21 08:00:00,4479,442,144,2.4
2022484408,2016-03-16 09:00:00,4800,440,153,2.55
8877689391,2016-04-03 15:00:00,1961,440,117,1.95
8053475328,2016-03-25 12:00:00,5356,439,144,2.4
5577150313,2016-04-11 06:00:00,1808,435,126,2.1
8877689391,2016-03-23 17:00:00,4630,435,95,1.583333
5577150313,2016-03-15 05:00:00,1746,434,116,1.933333
5577150313,2016-03-19 06:00:00,2547,434,84,1.4
5577150313,2016-03-12 10:00:00,2947,433,129,2.15
5577150313,2016-04-02 07:00:00,2312,433,111,1.85
8053475328,2016-03-31 14:00:00,4656,433,113,1.883333
2022484408,2016-03-31 10:00:00,2787,428,152,2.533333
2022484408,2016-04-01 09:00:00,4994,427,146,2.433333
5577150313,2016-03-18 06:00:00,2050,427,127,2.116667
8053475328,2016-03-20 14:00:00,5011,425,126,2.1
8378563200,2016-03-25 08:00:00,3875,425,112,1.866667
8378563200,2016-03-22 08:00:00,3887,425,110,1.833333
8378563200,2016-04-03 11:00:00,3878,425,111,1.85
2022484408,2016-04-06 09:00:00,4630,424,149,2.483333
5577150313,2016-03-26 11:00:00,2571,424,122,2.033333
7007744171,2016-03-17 23:00:00,0,424,116,1.933333
8378563200,2016-03-23 08:00:00,3929,424,112,1.866667
8378563200,2016-03-15 12:00:00,3867,421,118,1.966667
8053475328,2016-04-10 12:00:00,4504,420,118,1.966667
8378563200,2016-04-05 08:00:00,3848,420,107,1.783333
